Sample Sys Usage,Sample Sys Name,GPIO #,Name,J8 Header # (odd row),J8 Header # (even row),Name,GPIO #,Sample Sys Name,Sample Sys Usage,,,,,,,,,,,,,,,
,,N/A,3.3 VDC Power,1,2,5.0 VDC POWER,N/A,,,"""N/A"",",,,"""N/A"",",,,even,"""N/A"",",,,"""N/A"",",,,"1,","""N/A"","
Pressure bus,,2,GPIO 2 SDA1 (I2C),3,4,5.0 VDC POWER,N/A,,,"""2"",",,,"""N/A"",",,,odd,"""N/A"",",,,"""N/A"",",,,"2,","""N/A"","
Pressure bus,,3,GPIO 3 SCL1 (I2C),5,6,GND,N/A,,,"""3"",",,,"""N/A"",",,,even,"""8"",",,,"""2"",",,,"3,","""8"","
,,4,GPIO 4 GPCLK0,7,8,GPIO 14 TxD (UART),14,Pinout 3,"GCMS Ready Pin (input pin, pulled low)","""4"",",,,"""14"",",,,odd,"""N/A"",",,,"""N/A"",",,,"4,","""N/A"","
,,N/A,GND,9,10,GPIO 15 RxD (UART),15,Pinout 4,"GCMS Start Pin (to sink current with start pin, change it from input to output-low)","""N/A"",",,,"""15"",",,,even,"""9"",",,,"""3"",",,,"5,","""9"","
Valve 1,Valve 1,17,GPIO 17,11,12,GPIO 18 PCM_CLK/PWM0,18,,,"""17"",",,,"""18"",",,,odd,"""N/A"",",,,"""N/A"",",,,"6,","""N/A"","
Valve 2,Valve 2,27,GPIO 27,13,14,GND,N/A,,,"""27"",",,,"""N/A"",",,,even,"""7"",",,,"""4"",",,,"7,","""7"","
Valve 3,Valve 3,22,GPIO 22,15,16,GPIO 23,23,Valve 4,Valve 4,"""22"",",,,"""23"",",,,odd,"""15"",",,,"""14"",",,,"8,","""15"","
Pinout 1 (to-be-changed),,N/A,3.3 VDC Power,17,18,GPIO 24,24,,,"""N/A"",",,,"""24"",",,,even,"""N/A"",",,,"""N/A"",",,,"9,","""N/A"","
Pinout 2,,10,GPIO 120MOSI (SPI),19,20,GND,N/A,,,"""10"",",,,"""N/A"",",,,odd,"""16"",",,,"""15"",",,,"10,","""16"","
,,9,GPIO 9 MISO (SPI),21,22,GPIO 25,25,,,"""9"",",,,"""25"",",,,even,"""0"",",,,"""17"",",,,"11,","""0"","
,,11,GPIO 11 SCLK (SPI),23,24,GPIO 8 CE0 (SPI),8,,,"""11"",",,,"""8"",",,,odd,"""1"",",,,"""18"",",,,"12,","""1"","
,,N/A,GND,25,26,GPIO 7 CE1 (SPI),7,,,"""N/A"",",,,"""7"",",,,even,"""2"",",,,"""27"",",,,"13,","""2"","
Valve 5,Valve 5,0,GPIO 0 SDA0 (I2C ID EEPROM),27,28,GPIO 1 SCL0 (I2C ID EEPROM),1,,,"""0"",",,,"""1"",",,,odd,"""N/A"",",,,"""N/A"",",,,"14,","""N/A"","
Valve 6,Valve 6,5,GPIO 5 GPCLK1,29,30,GND,N/A,,,"""5"",",,,"""N/A"",",,,even,"""3"",",,,"""22"",",,,"15,","""3"","
Trap 1,Trap 1,6,GPIO 6 GPCLK2,31,32,GPIO 12 PWM0,12,,,"""6"",",,,"""12"",",,,odd,"""4"",",,,"""23"",",,,"16,","""4"","
Trap 2,Trap 2,13,GPIO 13 PWM1,33,34,GND,N/A,,,"""13"",",,,"""N/A"",",,,even,"""N/A"",",,,"""N/A"",",,,"17,","""N/A"","
Pinout 4,Oxidation Cat,19,GPIO 19 PCM_FS/PWM1,35,36,GPIO 16,16,,,"""19"",",,,"""16"",",,,odd,"""5"",",,,"""24"",",,,"18,","""5"","
,Reduction Cat,26,GPIO 26,37,38,GPIO 20 PCM_DIN,20,Pre-cut Oven,Pre-cut Oven,"""26"",",,,"""20"",",,,even,"""12"",",,,"""10"",",,,"19,","""12"","
,,N/A,GND,39,40,GPIO 21 PCM_DOUT,21,Unknown,Unknown,"""N/A"",",,,"""21"",",,,odd,"""N/A"",",,,"""N/A"",",,,"20,","""N/A"","
,,,,,,,,,,1,,,2,,,,"""13"",",,,"""9"",",,,"21,","""13"","
,,,,,,,,,,3,,,4,,,,"""6"",",,,"""25"",",,,"22,","""6"","
,,,,,,,,,,5,,,6,,,,"""14"",",,,"""11"",",,,"23,","""14"","
,,,,,,,,,,7,,,8,,,,"""10"",",,,"""8"",",,,"24,","""10"","
,,,,,,,,,,9,,,10,,,,"""N/A"",",,,"""N/A"",",,,"25,","""N/A"","
,,,,,,,,,,11,,,12,,,,"""11"",",,,"""7"",",,,"26,","""11"","
,,,,,,,,,,13,,,14,,,,"""30"",",,,"""0"",",,,"27,","""30"","
,,,,,,,,,,15,,,16,,,,"""31"",",,,"""1"",",,,"28,","""31"","
,,,,,,,,,,17,,,18,,,,"""21"",",,,"""5"",",,,"29,","""21"","
,,,,,,,,,,19,,,20,,,,"""N/A"",",,,"""N/A"",",,,"30,","""N/A"","
,,,,,,,,,,21,,,22,,,,"""22"",",,,"""6"",",,,"31,","""22"","
,,,,,,,,,,23,,,24,,,,"""26"",",,,"""12"",",,,"32,","""26"","
,,,,,,,,,,25,,,26,,,,"""23"",",,,"""13"",",,,"33,","""23"","
,,,,,,,,,,27,,,28,,,,"""N/A"",",,,"""N/A"",",,,"34,","""N/A"","
,,,,,,,,,,29,,,30,,,,"""24"",",,,"""19"",",,,"35,","""24"","
,,,,,,,,,,31,,,32,,,,"""27"",",,,"""16"",",,,"36,","""27"","
,,,,,,,,,,33,,,34,,,,"""25"",",,,"""26"",",,,"37,","""25"","
,,,,,,,,,,35,,,36,,,,"""28"",",,,"""20"",",,,"38,","""28"","
,,,,,,,,,,37,,,38,,,,"""N/A"",",,,"""N/A"",",,,"39,","""N/A"","
,,,,,,,,,,39,,,40,,,,"""29"",",,,"""21"",",,,"40,","""29"","
,,,,,,,,,,,,,,,,,1,,,1,,,,
,,,,,,,,,,,,,,,,,2,,,2,,,,
,,,,,,,,,,,,,,,,,3,,,3,,,,
,,,,,,,,,,,,,,,,,4,,,4,,,,
,,,,,,,,,,,,,,,,,5,,,5,,,,
,,,,,,,,,,,,,,,,,6,,,6,,,,
,,,,,,,,,,,,,,,,,7,,,7,,,,
,,,,,,,,,,,,,,,,,8,,,8,,,,
,,,,,,,,,,,,,,,,,9,,,9,,,,
,,,,,,,,,,,,,,,,,10,,,10,,,,
,,,,,,,,,,,,,,,,,11,,,11,,,,
,,,,,,,,,,,,,,,,,12,,,12,,,,
,,,,,,,,,,,,,,,,,13,,,13,,,,
,,,,,,,,,,,,,,,,,14,,,14,,,,
,,,,,,,,,,,,,,,,,15,,,15,,,,
,,,,,,,,,,,,,,,,,16,,,16,,,,
,,,,,,,,,,,,,,,,,17,,,17,,,,
,,,,,,,,,,,,,,,,,18,,,18,,,,
,,,,,,,,,,,,,,,,,19,,,19,,,,
,,,,,,,,,,,,,,,,,20,,,20,,,,
,,,,,,,,,,,,,,,,,21,,,21,,,,
,,,,,,,,,,,,,,,,,22,,,22,,,,
,,,,,,,,,,,,,,,,,23,,,23,,,,
,,,,,,,,,,,,,,,,,24,,,24,,,,
,,,,,,,,,,,,,,,,,25,,,25,,,,
,,,,,,,,,,,,,,,,,26,,,26,,,,
,,,,,,,,,,,,,,,,,27,,,27,,,,
,,,,,,,,,,,,,,,,,28,,,28,,,,
,,,,,,,,,,,,,,,,,29,,,29,,,,
,,,,,,,,,,,,,,,,,30,,,30,,,,
,,,,,,,,,,,,,,,,,31,,,31,,,,
,,,,,,,,,,,,,,,,,32,,,32,,,,
,,,,,,,,,,,,,,,,,33,,,33,,,,
,,,,,,,,,,,,,,,,,34,,,34,,,,
,,,,,,,,,,,,,,,,,35,,,35,,,,
,,,,,,,,,,,,,,,,,36,,,36,,,,
,,,,,,,,,,,,,,,,,37,,,37,,,,
,,,,,,,,,,,,,,,,,38,,,38,,,,
,,,,,,,,,,,,,,,,,39,,,39,,,,
,,,,,,,,,,,,,,,,,40,,,40,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,